DATE,TIME,TEMPERATURE,DEWPOT,HUMIDITY,WIND,WIND_SPEED,WIND_GUST,PRESSURE,PRECIPITATION,CONDITION,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
7/1/2007,12:00 AM,64,59,83,S,2,0,29.55,0,0,2.744,0.35,239.09,11.6,0,1,18
7/1/2007,12:30 AM,63,57,82,S,5,0,29.52,0,0,2.524,0.184,238.05,10.6,0,1,18
7/1/2007,1:00 AM,63,59,88,S,5,0,29.52,0,0,1.686,0.056,235.11,7.2,1,1,17
7/1/2007,1:30 AM,63,59,88,S,5,0,29.52,0,0,0.576,0.332,239.82,2.8,1,1,0
7/1/2007,2:00 AM,63,59,88,S,5,0,29.52,0,0,0.28,0,239.31,1.2,2,0,0
7/1/2007,2:30 AM,63,57,82,S,3,0,29.52,0,0,2.472,0,238.03,10.4,37,0,0
7/1/2007,3:00 AM,61,57,88,S,3,0,29.52,0,0,0.388,0.206,239.31,1.8,0,0,0
7/1/2007,3:30 AM,63,57,82,SSE,5,0,29.49,0,0,0.21,0,240.22,0.8,0,0,0
7/1/2007,4:00 AM,63,57,82,S,5,0,29.49,0,0,0.394,0.224,240.18,1.8,0,1,0
7/1/2007,4:30 AM,63,57,82,S,3,0,29.49,0,0,0.482,0.13,241.93,2,0,1,0
7/1/2007,5:00 AM,63,57,82,S,3,0,29.49,0,1,0.454,0.092,241.31,1.8,0,1,0
7/1/2007,5:30 AM,63,59,88,S,5,0,29.49,0,1,0.456,0.094,242.43,1.8,0,2,0
7/1/2007,6:00 AM,63,59,88,S,6,0,29.46,0,1,0.39,0,242.74,1.6,0,0,0
7/1/2007,6:30 AM,63,59,88,S,6,0,29.49,0,1,0.488,0.106,241.85,2,0,0,0
7/1/2007,7:00 AM,63,59,88,SSW,8,0,29.49,0,1,0.386,0,241.6,1.6,0,0,0
7/1/2007,7:30 AM,63,59,88,SW,7,0,29.46,0,0,0.508,0.146,242.24,2.2,0,0,0
7/1/2007,8:00 AM,63,59,88,SSW,8,0,29.46,0,0,0.47,0.092,241.15,2,0,1,0
7/1/2007,8:30 AM,64,59,83,SSW,7,0,29.46,0,0,0.446,0.08,237.76,1.8,0,1,0
7/1/2007,9:00 AM,64,59,83,SSW,8,0,29.46,0,0,0.55,0.214,238.93,2.4,0,1,0
7/1/2007,9:30 AM,64,59,83,SW,9,0,29.46,0,1,0.444,0.082,238.3,1.8,0,1,0
7/1/2007,10:00 AM,66,59,78,SSW,8,0,29.46,0,1,1.778,0.076,236.69,7.4,0,0,17
7/1/2007,10:30 AM,64,61,88,SSW,9,0,29.46,0,1,0.616,0,240.76,2.6,0,0,0
7/1/2007,11:00 AM,66,61,83,S,9,0,29.46,0,1,1.212,0.046,237.36,5,0,0,18
7/1/2007,11:30 AM,68,61,78,SSW,14,0,29.46,0,1,1.314,0.084,238.54,5.4,0,0,18
7/1/2007,12:00 PM,70,59,68,S,12,0,29.46,0,1,1.354,0.176,238.46,5.6,0,1,17
7/1/2007,12:30 PM,68,59,73,S,15,0,29.46,0,1,0.324,0.216,238.92,1.6,0,1,0
7/1/2007,1:00 PM,68,61,78,SSW,15,0,29.46,0,1,0.226,0.09,239.95,1,0,2,0
7/1/2007,1:30 PM,70,59,68,S,15,0,29.46,0,1,0.298,0.21,242.71,1.4,0,1,0
7/1/2007,2:00 PM,70,57,64,SSW,15,0,29.46,0,1,0.274,0.11,240.55,1.2,0,0,0
7/1/2007,2:30 PM,70,61,73,SSW,15,0,29.46,0,1,0.28,0,240.59,1.2,0,0,0
7/1/2007,3:00 PM,70,61,73,SSW,16,0,29.46,0,1,0.378,0.11,241.93,1.6,0,0,0
7/1/2007,3:30 PM,72,57,60,S,16,0,29.43,0,1,0.28,0,243.11,1.2,0,0,0
7/1/2007,4:00 PM,73,57,57,S,18,0,29.43,0,1,0.516,0.326,242.07,2.4,0,1,0
7/1/2007,4:30 PM,73,54,50,SSW,16,0,29.43,0,1,0.228,0.098,240.16,1,0,1,0
7/1/2007,5:00 PM,75,52,44,SSW,16,0,29.43,0,1,0.226,0.106,242.63,1,0,1,0
7/1/2007,5:30 PM,73,57,57,SSW,15,0,29.43,0,1,0.456,0.332,241.73,2.4,0,1,0
7/1/2007,6:00 PM,72,57,60,S,13,0,29.43,0,1,0.174,0,240.78,0.8,0,0,0
7/1/2007,6:30 PM,72,57,60,S,17,0,29.43,0,1,0.232,0.07,237.63,1,0,0,0
7/1/2007,7:00 PM,70,57,64,S,17,0,29.43,0,1,1.516,0.09,237.39,6.4,0,0,17
7/1/2007,7:30 PM,68,57,68,S,13,0,29.43,0,1,0.416,0.068,240.36,2,0,0,0
7/1/2007,8:00 PM,68,55,64,SSW,16,0,29.43,0,1,0.852,0.204,238.82,3.8,0,1,0
7/1/2007,8:30 PM,68,55,64,SSW,12,0,29.4,0,1,0.486,0.198,241.85,2.4,0,2,0
7/1/2007,9:00 PM,66,57,73,SSW,13,0,29.43,0,1,0.514,0.216,239.59,2.6,0,1,0
7/1/2007,9:30 PM,64,55,73,SSW,13,0,29.43,0,1,0.464,0.088,242.1,2.2,0,1,0
7/1/2007,10:00 PM,63,57,82,SSW,13,0,29.43,0,1,1.36,0.088,238.72,5.8,0,0,0
7/1/2007,10:30 PM,63,57,82,SSW,12,0,29.43,0,1,0.63,0.062,242.38,2.6,0,0,0
7/1/2007,11:00 PM,63,57,82,S,12,0,29.43,0,1,1.248,0,238.68,5.2,0,0,17
7/1/2007,11:30 AM,66,54,64,WSW,15,0,29.46,0,1,0.158,0,239.61,0.6,0,0,0
7/2/2007,12:00 AM,61,57,88,SSW,9,0,29.43,0,1,0.272,0.19,242.47,1.4,0,1,0
7/2/2007,12:30 AM,61,57,88,S,13,0,29.46,0,1,0.296,0.232,244.78,1.4,0,2,0
7/2/2007,1:00 AM,61,57,88,S,10,0,29.43,0,1,0.186,0.078,240.53,0.8,0,2,0
7/2/2007,1:30 AM,61,57,88,S,10,0,29.43,0,1,0.35,0.316,241.15,1.8,0,1,0
7/2/2007,2:00 AM,61,57,88,S,10,0,29.43,0,1,0.114,0,240.4,0.6,0,0,0
7/2/2007,2:30 AM,61,57,88,SSW,10,0,29.43,0,1,0.114,0,240.87,0.6,0,0,0
7/2/2007,3:00 AM,61,57,88,SSW,12,0,29.43,0,1,0.19,0.06,240.44,0.8,0,0,0
7/2/2007,3:30 AM,61,57,88,SSW,10,0,29.43,0,1,0.114,0,241.16,0.6,0,0,0
7/2/2007,4:00 AM,59,57,94,SSW,9,0,29.43,0,1,0.26,0.128,240.77,1.4,0,0,0
7/2/2007,4:30 AM,59,57,94,S,12,0,29.43,0,1,0.262,0.182,241.25,1.2,0,1,0
7/2/2007,5:00 AM,59,57,94,SSW,8,0,29.43,0,1,0.282,0.212,241.09,1.4,0,1,0
7/2/2007,5:30 AM,59,57,94,SSW,10,0,29.43,0,1,0.186,0.082,241.69,0.8,0,1,0
7/2/2007,6:00 AM,59,55,88,SSW,10,0,29.43,0,1,0.194,0.066,242.13,0.8,0,0,0
7/2/2007,6:30 AM,59,55,88,SSW,9,0,29.43,0,1,0.114,0,240.56,0.6,0,0,0
7/2/2007,7:00 AM,59,57,94,SSW,9,0,29.43,0,1,1.25,0,238.9,5.2,0,0,18
7/2/2007,7:30 AM,59,55,88,SW,12,0,29.43,0,1,1.514,0.074,240.61,6.2,0,0,17
7/2/2007,8:00 AM,59,57,94,SW,12,0,29.43,0,1,1.246,0.048,240.32,5.2,0,0,18
7/2/2007,8:30 AM,59,55,88,SSW,9,0,29.43,0,1,0.28,0.204,238.99,1.4,0,1,0
7/2/2007,9:00 AM,61,55,82,SW,13,0,29.46,0,1,0.184,0.074,238.87,0.8,0,1,0
7/2/2007,9:30 AM,61,57,88,SSW,15,0,29.46,0,1,0.258,0.176,239.49,1.2,0,1,0
7/2/2007,10:00 AM,61,57,88,SW,14,25,29.46,0,1,0.222,0.084,238.68,1,0,0,0
7/2/2007,10:30 AM,63,57,82,SW,14,0,29.46,0,1,0.112,0,236.44,0.6,0,0,0
7/2/2007,11:00 AM,66,55,68,WSW,16,0,29.46,0,1,0.214,0.09,240.1,1,0,0,0
7/2/2007,11:30 PM,63,57,82,SSW,13,0,29.43,0,1,0.114,0,240.08,0.6,0,0,0
